mes,anio,total,civil,catolico
enero,2010,1798,1246,552
febrero,2010,2065,1495,570
marzo,2010,1910,1401,509
abril,2010,1673,1221,452
mayo,2010,1849,1415,434
junio,2010,1572,1170,402
julio,2010,1925,1379,546
agosto,2010,1592,1190,402
setiembre,2010,1551,1173,378
octubre,2010,1649,1246,403
noviembre,2010,2087,1428,659
diciembre,2010,4284,2736,1548
enero,2011,1921,1348,573
febrero,2011,2112,1511,601
marzo,2011,1892,1390,502
abril,2011,2002,1472,530
mayo,2011,1771,1334,437
junio,2011,1701,1296,405
julio,2011,1970,1384,586
agosto,2011,1624,1212,412
setiembre,2011,1640,1241,399
octubre,2011,1650,1211,439
noviembre,2011,2288,1615,673
diciembre,2011,4442,2845,1597
enero,2012,1951,1308,643
febrero,2012,2173,1586,587
marzo,2012,2361,1684,677
abril,2012,1792,1269,523
mayo,2012,1818,1307,511
junio,2012,1858,1392,466
julio,2012,1882,1387,495
agosto,2012,1803,1348,455
setiembre,2012,1792,1375,417
octubre,2012,1862,1448,414
noviembre,2012,2374,1753,621
diciembre,2012,4446,3109,1337
enero,2013,1896,1329,567
febrero,2013,2253,1716,537
marzo,2013,2016,1535,481
abril,2013,2020,1486,534
mayo,2013,1857,1459,398
junio,2013,1920,1437,483
julio,2013,1763,1295,468
agosto,2013,1963,1479,484
setiembre,2013,1644,1264,380
octubre,2013,1637,1265,372
noviembre,2013,2303,1576,727
diciembre,2013,4453,2883,1570
enero,2014,1954,1382,572
febrero,2014,2057,1546,511
marzo,2014,2174,1576,598
abril,2014,1833,1378,455
mayo,2014,2095,1560,535
junio,2014,1741,1325,416
julio,2014,1792,1309,483
agosto,2014,1882,1395,487
setiembre,2014,1534,1217,317
octubre,2014,1655,1309,346
noviembre,2014,2608,1737,871
diciembre,2014,4584,3081,1503
enero,2015,1983,1321,662
febrero,2015,2236,1601,635
marzo,2015,2038,1464,574
abril,2015,1604,1156,448
mayo,2015,1913,1426,487
junio,2015,1766,1338,428
julio,2015,1978,1478,500
agosto,2015,1892,1476,416
setiembre,2015,1743,1380,363
octubre,2015,1885,1477,408
noviembre,2015,2461,1816,645
diciembre,2015,5013,3387,1626
enero,2016,2189,1555,634
febrero,2016,2320,1791,529
marzo,2016,1899,1479,420
abril,2016,2404,1737,667
mayo,2016,1909,1521,388
junio,2016,1822,1408,414
julio,2016,2237,1638,599
agosto,2016,1754,1334,420
setiembre,2016,1666,1292,374
octubre,2016,1841,1337,504
noviembre,2016,2287,1624,663
diciembre,2016,4390,2873,1517
enero,2017,644,1525,2169
febrero,2017,494,1549,2043
marzo,2017,484,1653,2137
abril,2017,608,1525,2133
mayo,2017,425,1444,1869
junio,2017,388,1487,1875
julio,2017,534,1505,2039
agosto,2017,366,1320,1686
setiembre,2017,430,1347,1777
octubre,2017,348,1260,1608
noviembre,2017,519,1557,2076
diciembre,2017,1180,2909,4089
enero,2018,1906,1341,565
febrero,2018,2114,1621,493
marzo,2018,2004,1552,452
abril,2018,2025,1472,553
mayo,2018,1662,1324,338
junio,2018,1751,1352,399
julio,2018,1706,1330,376
agosto,2018,1593,1230,363
setiembre,2018,1462,1164,298
octubre,2018,1414,1137,277
noviembre,2018,2022,1527,495
diciembre,2018,3944,2798,1146
enero,2019,1777,1317,460
febrero,2019,1893,1460,433
marzo,2019,2155,1613,542
abril,2019,1611,1241,370
mayo,2019,1577,1238,339
junio,2019,1791,1408,383
julio,2019,1475,1132,343
agosto,2019,1583,1210,373
setiembre,2019,1362,1121,241
octubre,2019,1383,1141,242
noviembre,2019,2108,1575,533
diciembre,2019,3962,2727,1235
enero,2020,1664,1342,279
febrero,2020,2171,1750,364
marzo,2020,1370,1105,230
abril,2020,562,453,95
mayo,2020,995,802,167
junio,2020,1185,956,199
julio,2020,1121,904,188
agosto,2020,1343,1083,226
setiembre,2020,1298,1047,218
octubre,2020,1422,1147,239
noviembre,2020,1883,1518,316
diciembre,2020,3838,3094,644
enero,2021,1906,1490,417
febrero,2021,2164,1692,473
marzo,2021,2090,1634,457
abril,2021,1876,1467,410
mayo,2021,1695,1325,371
junio,2021,1602,1253,350
julio,2021,1911,1494,418
agosto,2021,1667,1303,365
setiembre,2021,1456,1138,319
octubre,2021,1567,1225,343
noviembre,2021,2224,1739,486
diciembre,2021,4194,3278,917
enero,2022,2064,1609,456
febrero,2022,2032,1584,449
marzo,2022,2042,1592,451
abril,2022,1979,1543,437
mayo,2022,1542,1202,341
junio,2022,1365,1064,302
